"","Year","Area","Area.Abbreviation","latitude","longitude","AlcoholicBeverages","Beans","Cereals","Coffee","Fruits","InfantFood","Meat","Nuts","Seafood","Spices","Sweeteners","Tea","Vegetables"
"57",1961,"France","FRA",46.23,2.21,8203,88,6039,183,2486,0,3565,134,832,5,1411,2,6952
"58",1961,"French Polynesia","PYF",-17.68,-149.41,3,0,11,0,3,0,2,0,4,0,3,0,4
"59",1961,"Gabon","GAB",-0.8,11.61,21,0,15,0,92,0,23,0,13,0,1,0,22
"60",1961,"Gambia","GMB",13.44,-15.31,16,0,60,0,2,0,4,0,5,0,4,0,5
"61",1961,"Georgia","GEO",42.32,43.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1961,"Germany","DEU",51.17,10.45,7599,23,7104,237,5810,0,4719,141,704,13,2544,8,3641
"63",1961,"Ghana","GHA",7.95,-1.02,132,0,344,0,627,1,76,5,118,6,68,0,164
"64",1961,"Greece","GRC",39.07,21.82,338,28,1399,8,1120,1,177,70,136,2,128,0,961
"65",1961,"Grenada","GRD",12.26,-61.6,1,0,7,0,12,0,1,0,2,0,3,0,2
"66",1961,"Guatemala","GTM",15.78,-90.23,29,35,543,12,154,0,57,0,2,0,91,0,100
"67",1961,"Guinea","GIN",9.95,-9.7,7,0,330,0,388,0,16,0,4,0,11,0,325
"68",1961,"Guinea-Bissau","GNB",11.8,-15.18,8,0,60,0,28,0,8,1,1,0,1,0,12
"69",1961,"Guyana","GUY",4.86,-58.93,7,0,77,1,31,0,9,0,15,1,23,0,6
"70",1961,"Haiti","HTI",18.97,-72.29,51,32,373,10,441,0,40,NA,5,0,94,0,152
"71",1961,"Honduras","HND",15.2,-86.24,16,25,235,7,209,0,26,0,3,0,53,0,33
"72",1961,"Hungary","HUN",47.16,19.5,688,6,1860,2,582,0,782,13,20,19,302,0,901
"73",1961,"Iceland","ISL",64.96,-19.02,3,0,16,2,7,0,15,0,11,0,11,0,2
"74",1961,"India","IND",20.59,78.96,177,1332,63431,11,11758,0,1695,206,851,557,8794,146,16925
